Date,Date,Close
1636479180000,1636479180000,4759.39000000
1636479240000,1636479240000,4765.25000000
1636479300000,1636479300000,4764.07000000
1636479360000,1636479360000,4764.07000000
1636479420000,1636479420000,4765.80000000
1636479480000,1636479480000,4765.66000000
1636479540000,1636479540000,4768.94000000
1636479600000,1636479600000,4770.38000000
1636479660000,1636479660000,4770.20000000
1636479720000,1636479720000,4775.11000000
1636479780000,1636479780000,4777.48000000
1636479840000,1636479840000,4776.15000000
1636479900000,1636479900000,4780.48000000
1636479960000,1636479960000,4776.84000000
1636480020000,1636480020000,4775.34000000
1636480080000,1636480080000,4773.10000000
1636480140000,1636480140000,4771.12000000
1636480200000,1636480200000,4774.17000000
1636480260000,1636480260000,4782.77000000
1636480320000,1636480320000,4778.26000000
1636480380000,1636480380000,4778.26000000
1636480440000,1636480440000,4783.41000000
1636480500000,1636480500000,4782.20000000
1636480560000,1636480560000,4779.37000000
1636480620000,1636480620000,4778.09000000
1636480680000,1636480680000,4776.15000000
1636480740000,1636480740000,4773.95000000
1636480800000,1636480800000,4775.62000000
1636480860000,1636480860000,4778.84000000
1636480920000,1636480920000,4778.84000000
1636480980000,1636480980000,4778.19000000
1636481040000,1636481040000,4779.93000000
1636481100000,1636481100000,4780.71000000
1636481160000,1636481160000,4782.57000000
1636481220000,1636481220000,4782.57000000
1636481280000,1636481280000,4782.57000000
1636481340000,1636481340000,4788.99000000
1636481400000,1636481400000,4791.47000000
1636481460000,1636481460000,4791.26000000
1636481520000,1636481520000,4791.18000000
1636481580000,1636481580000,4784.77000000
1636481640000,1636481640000,4784.03000000
1636481700000,1636481700000,4779.30000000
1636481760000,1636481760000,4775.38000000
1636481820000,1636481820000,4778.72000000
1636481880000,1636481880000,4780.46000000
1636481940000,1636481940000,4781.00000000
1636482000000,1636482000000,4780.20000000
1636482060000,1636482060000,4780.20000000
1636482120000,1636482120000,4781.85000000
1636482180000,1636482180000,4778.77000000
1636482240000,1636482240000,4774.57000000
1636482300000,1636482300000,4775.84000000
1636482360000,1636482360000,4772.15000000
1636482420000,1636482420000,4774.92000000
1636482480000,1636482480000,4763.80000000
1636482540000,1636482540000,4761.83000000
1636482600000,1636482600000,4764.77000000
1636482660000,1636482660000,4766.22000000
1636482720000,1636482720000,4765.26000000
1636482780000,1636482780000,4765.26000000
1636482840000,1636482840000,4769.40000000
1636482900000,1636482900000,4769.40000000
1636482960000,1636482960000,4769.10000000
